Owner_inf,Bhk_info,Price,Locality,Area_sqft,Status,Price_Per_sqft
OWNER,Residential Plot, 11.26 L,Shadnagar,1314 ,ResaleNew/Resale,856 / sq ft
OWNER,Residential Plot, 30 L,chandrayangutta,900 ,ResaleNew/Resale,"3,333 / sq ft"
OWNER,Residential Plot, 44 L,Medchal,1503 ,ResaleNew/Resale,"2,927 / sq ft"
OWNER,2 , 64.7 L,Puppalaguda,1290 ,Ready to moveConstruction Status,"5,015 / sq ft"
OWNER,5 , 2.5 Cr,Kothapet,4400 ,Ready to moveConstruction Status,"5,681 / sq ft"
OWNER,3 , 93 L,Bandlaguda Jagir,1332 ,Ready to moveConstruction Status,"6,981 / sq ft"
AGENT,3 , 1.28 Cr,Tellapur,2208 ,Under ConstructionConstruction Status,"5,800 / sq ft"
AGENT,3 , 2.07 Cr,Tellapur,3569 ,Under ConstructionConstruction Status,"5,800 / sq ft"
AGENT,3 , 1.17 Cr,Tellapur,2132 ,Under ConstructionConstruction Status,"5,500 / sq ft"
AGENT,3 , 1 Cr,Tellapur,2132 ,Under ConstructionConstruction Status,"4,700 / sq ft"
OWNER,3 , 1.2 Cr,Bahadurpally,2000 ,Under ConstructionConstruction Status,"6,000 / sq ft"
OWNER,3 , 1.2 Cr,Bahadurpally,2000 ,Under ConstructionConstruction Status,"6,000 / sq ft"
OWNER,3 , 1.2 Cr,Bahadurpally,2000 ,Under ConstructionConstruction Status,"6,000 / sq ft"
OWNER,3 , 1.2 Cr,Bahadurpally,2000 ,Under ConstructionConstruction Status,"6,000 / sq ft"
OWNER,3 , 1.2 Cr,Bahadurpally,2000 ,Under ConstructionConstruction Status,"6,000 / sq ft"
OWNER,3 , 95 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,653 / sq ft"
OWNER,2 , 87 L,Manikonda,1230 ,Ready to moveConstruction Status,"7,073 / sq ft"
OWNER,3 , 95 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,653 / sq ft"
OWNER,2 , 42 L,Mokila,1000 ,Under ConstructionConstruction Status,"4,200 / sq ft"
OWNER,2 , 48 L,Mokila,1000 ,Under ConstructionConstruction Status,"4,800 / sq ft"
AGENT,3 , 69.25 L,Aushapur,1150 ,Under ConstructionConstruction Status,"6,021 / sq ft"
AGENT,3 , 76.12 L,Aushapur,1275 ,Under ConstructionConstruction Status,"5,970 / sq ft"
OWNER,2 , 38 L,Gandi Maisamma,1000 ,Ready to moveConstruction Status,"3,800 / sq ft"
OWNER,3 , 2.2 Cr,Manikonda,2540 ,Ready to moveConstruction Status,"8,661 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,2 , 80 L,Mokila,2600 ,Under ConstructionConstruction Status,"3,076 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,4 , 77.99 L,Indresham,1800 ,Ready to moveConstruction Status,"4,333 / sq ft"
OWNER,6 , 1.12 Cr,Sainikpuri,2300 ,Under ConstructionConstruction Status,"4,869 / sq ft"
OWNER,9 , 2.9 Cr,Saidabad,5400 ,Ready to moveConstruction Status,"5,370 / sq ft"
OWNER,9 , 2.9 Cr,Saidabad,5400 ,Ready to moveConstruction Status,"5,370 / sq ft"
OWNER,9 , 2.9 Cr,Saidabad,5400 ,Ready to moveConstruction Status,"5,370 / sq ft"
OWNER,9 , 2.9 Cr,Saidabad,5400 ,Ready to moveConstruction Status,"5,370 / sq ft"
OWNER,3 , 1.03 Cr,Madhapur,1450 ,Under ConstructionConstruction Status,"7,103 / sq ft"
OWNER,6 , 1.12 Cr,Sainikpuri,2300 ,Under ConstructionConstruction Status,"4,869 / sq ft"
OWNER,2 , 82.41 L,Puppalaguda,1230 ,Under ConstructionConstruction Status,"6,700 / sq ft"
OWNER,2 , 50 L,Kollur,1250 ,Under ConstructionConstruction Status,"4,000 / sq ft"
OWNER,2 , 50 L,Kollur,1250 ,Under ConstructionConstruction Status,"4,000 / sq ft"
OWNER,3 , 66.27 L,Kollur,1665 ,Under ConstructionConstruction Status,"3,980 / sq ft"
OWNER,3 , 66.27 L,Kollur,1665 ,Under ConstructionConstruction Status,"3,980 / sq ft"
OWNER,3 , 66.27 L,Kollur,1665 ,Under ConstructionConstruction Status,"3,980 / sq ft"
OWNER,3 , 66.27 L,Kollur,1665 ,Under ConstructionConstruction Status,"3,980 / sq ft"
OWNER,2 , 50 L,Kollur,1250 ,Under ConstructionConstruction Status,"4,000 / sq ft"
OWNER,3 , 66.27 L,Kollur,1665 ,Under ConstructionConstruction Status,"3,980 / sq ft"
OWNER,2 , 82.41 L,Puppalaguda,1230 ,Under ConstructionConstruction Status,"6,700 / sq ft"
OWNER,3 , 1.2 Cr,Bahadurpally,2200 ,Ready to moveConstruction Status,"5,454 / sq ft"
OWNER,3 , 1.2 Cr,Bahadurpally,2200 ,Ready to moveConstruction Status,"5,454 / sq ft"
OWNER,2 , 82.41 L,Puppalaguda,1230 ,Under ConstructionConstruction Status,"6,700 / sq ft"
OWNER,4 , 74.99 L,Patancheru,1820 ,Ready to moveConstruction Status,"4,120 / sq ft"
OWNER,Residential Plot, 5.56 L,Shamshabad,1089 ,ResaleNew/Resale,511 / sq ft
OWNER,Residential Plot, 5.56 L,Shamshabad,1089 ,ResaleNew/Resale,511 / sq ft
OWNER,2 , 70 L,Manikonda,1300 ,Ready to moveConstruction Status,"5,384 / sq ft"
OWNER,3 , 36 L,muthangi,1520 ,Under ConstructionConstruction Status,"2,368 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,2 , 36 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,529 / sq ft"
OWNER,3 , 36 L,muthangi,1520 ,Under ConstructionConstruction Status,"2,368 / sq ft"
OWNER,3 , 36 L,muthangi,1520 ,Under ConstructionConstruction Status,"2,368 / sq ft"
OWNER,3 , 36 L,muthangi,1520 ,Under ConstructionConstruction Status,"2,368 / sq ft"
OWNER,3 , 36 L,muthangi,1520 ,Under ConstructionConstruction Status,"2,368 / sq ft"
OWNER,3 , 36 L,muthangi,1520 ,Under ConstructionConstruction Status,"2,368 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 44 L,Chandanagar,1240 ,Under ConstructionConstruction Status,"3,548 / sq ft"
OWNER,3 , 44 L,Chandanagar,1240 ,Under ConstructionConstruction Status,"3,548 / sq ft"
OWNER,3 , 44 L,Chandanagar,1240 ,Under ConstructionConstruction Status,"3,548 / sq ft"
OWNER,3 , 44 L,Chandanagar,1240 ,Under ConstructionConstruction Status,"3,548 / sq ft"
OWNER,2 , 36 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,529 / sq ft"
OWNER,2 , 36 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,529 / sq ft"
OWNER,2 , 36 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,529 / sq ft"
OWNER,2 , 36 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,529 / sq ft"
OWNER,2 , 36 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,529 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 44 L,Chandanagar,1240 ,Under ConstructionConstruction Status,"3,548 / sq ft"
OWNER,2 , 36 L,Miyapur,1040 ,Under ConstructionConstruction Status,"3,461 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,2 , 36 L,Miyapur,1040 ,Under ConstructionConstruction Status,"3,461 / sq ft"
OWNER,2 , 36 L,Miyapur,1040 ,Under ConstructionConstruction Status,"3,461 / sq ft"
OWNER,2 , 36 L,Miyapur,1040 ,Under ConstructionConstruction Status,"3,461 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,3 , 44 L,Chandanagar,1240 ,Under ConstructionConstruction Status,"3,548 / sq ft"
OWNER,3 , 47.6 L,Miyapur,1360 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,3 , 47.6 L,Miyapur,1360 ,Under ConstructionConstruction Status,"3,500 / sq ft"
OWNER,2 , 36 L,Miyapur,1040 ,Under ConstructionConstruction Status,"3,461 / sq ft"
OWNER,2 , 26 L,muthangi,1170 ,Under ConstructionConstruction Status,"2,222 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,3 , 36 L,muthangi,1560 ,Under ConstructionConstruction Status,"2,307 / sq ft"
OWNER,2 , 36 L,Miyapur,1020 ,Under ConstructionConstruction Status,"3,529 / sq ft"
